,sector,price,dcf_value,comps_value,fair_value,upside,wacc,beta,terminal_share,peer_count,dcf_vs_comps_gap,dcf_failed,confidence
GILD,Healthcare,130.21,107.55547813686897,151.95467056730902,125.31515510904498,-0.037591927585861495,0.06805274353050585,0.5433511683493957,0.6687231111474735,12,-0.29218708621906575,False,high
CVS,Healthcare,104.44,7.829672464769301,255.90510307193927,107.0598447076373,0.02508468697469657,0.065,0.7331665580768834,0.6927308771432176,11,-0.9694040002689268,False,medium
SYK,Healthcare,325.69,109.58948092583455,307.2291785793773,188.64535998725165,-0.4207824618893683,0.08234723405524672,0.8402072383037653,0.6037618223615338,10,-0.643297288907992,False,medium
ISRG,Healthcare,353.33,106.38926110115335,219.57560025367331,151.66379676216133,-0.5707587899069954,0.11387136431843231,1.3067520785169513,0.4915425001249058,11,-0.515477762655582,False,medium
REGN,Healthcare,762.63,1410.7438680850003,1110.532675978525,1290.65939124241,0.6923795172526783,0.0661665348994002,0.45818797868337924,0.7183773085718815,10,0.27033080484727723,False,high
VRTX,Healthcare,477.1,285.13701602434924,371.87149458201395,319.8308074474151,-0.32963570017309773,0.07065694680062926,0.5314446648927746,0.6634452163062352,10,-0.23323777116919076,False,high
HCA,Healthcare,402.58,459.0370566657434,1022.50377840419,684.4237453611221,0.7000937586594518,0.0760916542463839,1.0669699479993975,0.6351866082814719,10,-0.5510656621903566,False,medium
SPGI,Financial Services,411.77,177.98134526405002,,177.98134526405002,-0.5677651473782693,0.09189390194526034,1.0472331015216123,0.5594945897502547,0,,False,medium
KO,Consumer Defensive,87.585,50.528761829109655,71.73404933786468,59.010876832611665,-0.32624448441386455,0.06861127374581535,0.5567101622424504,0.6723249432979688,4,-0.29560979345915517,False,medium
PEP,Consumer Defensive,139.56,91.76178782208999,204.91569895404407,137.02335227487163,-0.018176037010091517,0.065,0.5671225399132509,0.6935918662324365,4,-0.5521973753574188,False,low
WMT,Consumer Defensive,111.2,35.27505985195406,109.03709876551824,64.77987541737973,-0.4174471635127722,0.07821074952483235,0.7305065475523924,0.6191021100201709,4,-0.6764857076047827,False,low
COST,Consumer Defensive,951.89,374.4686459876481,537.2030949611823,439.56242557706173,-0.538221406279022,0.09067110446659601,0.9110201900650909,0.5984088951267065,4,-0.3029290979518523,False,medium
NKE,Consumer Cyclical,41.715,,148.67788163708443,148.67788163708443,2.5641347629649864,,1.0740065154693847,,3,,True,low
SBUX,Consumer Cyclical,105.25,0.4625325197627954,72.01059098614346,29.08175590631506,-0.7236887799875054,0.08575676585822566,0.9815363760296378,0.5471828168014987,3,-0.9935768820470895,False,low
MDLZ,Consumer Defensive,62.31,18.58371192361663,90.54816087974532,47.36949150606811,-0.23977705815971584,0.06507073586156349,0.5907761961417541,0.6863926952086488,4,-0.794764335983619,False,low
CVX,Energy,196.85,63.74111699275256,185.35112507467116,112.38512022552,-0.4290824474192533,0.07337643583671531,0.6691140807024041,0.629862391324747,8,-0.6561061230835604,False,medium
COP,Energy,120.51,63.93964549513069,131.84577092181766,91.10209566580548,-0.24402874727569934,0.065,0.4132220941281485,0.6552799694113084,8,-0.515042120440512,False,medium
SLB,Energy,49.595,26.90915119257125,44.63887585097966,34.001041055934614,-0.31442602972205635,0.07985543395254738,0.8301121237852324,0.6024881016097225,7,-0.3971812533450998,False,high
EOG,Energy,148.66,240.51045705488607,184.47995279559314,218.0982553511689,0.4670944124254601,0.06690627518217818,0.5177451955367751,0.7062602906462406,7,0.3037213714022122,False,high
PSX,Energy,211.675,152.53608061003703,194.7344099843729,169.41541235977138,-0.1996437351611131,0.07356762161217578,0.7975611403379916,0.6438256421047055,7,-0.21669683019925545,False,high
MPC,Energy,316.54,353.30916419775235,239.03979248267237,307.60141551172035,-0.028238404272065698,0.06716657692320831,0.6735176167682572,0.6870833449355233,7,0.4780349352226081,False,high
VLO,Energy,312.975,874.4432516983243,489.70220897510524,720.5468346090366,1.3022504500648187,0.07597762104565828,0.7072812652627942,0.7335433303359693,7,0.7856632779509842,False,medium
OXY,Energy,57.06,13.169420588242556,59.33525800275423,31.635755554047226,-0.4455703548186606,0.065,0.4393088165593588,0.6436855288993775,7,-0.7780506728793316,False,medium
KMI,Energy,32.18,,21.066169730135897,21.066169730135897,-0.34536452050541033,,0.7043587407229406,,7,,True,low
HON,Industrials,243.05,157.33908747543273,522.8395432442271,303.5392697829505,0.24887582712590195,0.07390533571690375,0.907113420981094,0.6335193631305499,5,-0.699068118491686,False,medium
GE,Industrials,360.33,129.64438935533192,173.04115353921742,147.00309502888612,-0.5920320399942105,0.10684134746013636,1.2485317875916793,0.52718002236779,5,-0.25078868983643365,False,high
UNP,Industrials,292.12,152.265797660538,376.00065971962323,241.75974248417208,-0.1723957877441734,0.08593310993969806,0.9725953960995918,0.5921079513110278,7,-0.5950384827141533,False,medium
RTX,Industrials,215.15,131.3587183108387,238.32756488478705,174.14625694041803,-0.19058211972847772,0.06733187327625262,0.5314890827132572,0.7011018589185565,5,-0.44883119846275243,False,high
LMT,Industrials,583.0,489.55670141709874,795.6927675146123,612.0111278561042,0.04976179735180808,0.065,0.3996740562105187,0.7048021639414669,7,-0.3847415467325982,False,high
DE,Industrials,592.75,15.662062219626097,495.87418963806977,207.7469131870036,-0.649520180199066,0.08339043388054998,0.9241424222013584,0.5175547578966396,7,-0.9684152501846132,False,medium
BA,Industrials,216.18,29.31784019514717,80.17069867984652,49.65898358902691,-0.7702887242620644,0.09276687139540245,1.1499986157417554,0.5472182223395226,7,-0.6343072883495133,False,medium
